,DES_Density,DES_Temperature_para,DES_Temperature_perp,DES_Velocity_x,DES_Velocity_y,DES_Velocity_z,DIS_Density,DIS_Temperature_para,DIS_Temperature_perp,DIS_Velocity_x,DIS_Velocity_y,DIS_Velocity_z,FGM_Magnetic_Field_w,FGM_Magnetic_Field_x,FGM_Magnetic_Field_y,FGM_Magnetic_Field_z,Time
1609,1.6369214,284.8048,308.5407,15.689584,21.315763,-23.648851,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-6.8980397878535795,6.016722735182211,36.775639269126664,37.8976865914066,2016-10-22 20:52:05.738787
1610,1.5756699,298.75006,336.45718,-19.697577,38.577583,24.746025,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-6.643568049665191,6.5992708941339515,37.36269991763402,38.51828831725288,2016-10-22 20:52:10.238818
1611,1.6386864,289.354,319.153,-44.548096,18.287231,79.07699,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-4.943074551591548,6.21270950324535,37.492356267059726,38.32376317710008,2016-10-22 20:52:14.738845
1612,1.554527,302.56717,343.00653,-6.479907,5.016728,53.348362,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-5.391450686594251,6.560464772990093,36.80097101598245,37.76796819064455,2016-10-22 20:52:19.238878
1613,1.508419,329.8028,405.16562,22.053928,-6.8579173,10.90436,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-6.221425922543858,8.494097307440825,37.21155687049031,38.67242356296629,2016-10-22 20:52:23.738903
1614,1.4844154,351.67972,443.12982,14.242241,-5.3607783,44.76131,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-6.300269255979668,9.349836399624973,37.16468246990397,38.83717785716347,2016-10-22 20:52:28.238936
1615,1.482967,358.54434,446.03998,18.562643,23.978159,37.233124,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-7.7356829437798575,9.379021395257249,37.2201454841548,39.155408766420756,2016-10-22 20:52:32.738964
1616,1.4365491,373.54834,460.8128,-24.306555,-2.3089225,-0.49359775,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.123813334095757,9.596353444278066,37.54822948743822,39.8146181901684,2016-10-22 20:52:37.238995
1617,1.3969545,403.8979,499.80753,-29.619995,-12.588897,0.13483155,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-8.780373106755892,8.893537217145767,38.13645027944425,40.132025487248804,2016-10-22 20:52:41.739022
1618,1.4004414,394.29675,488.22113,-35.844296,10.956212,15.865097,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-8.49385434773552,8.706891032012633,38.08156102564049,39.977001998081,2016-10-22 20:52:46.239055
1619,1.4249347,362.83426,447.70737,-41.647568,-1.4282947,-32.98305,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-8.46147091442981,8.73118643035923,38.22334932931699,40.110527164360974,2016-10-22 20:52:50.739081
1620,1.4388872,305.85828,367.0053,-73.02753,-30.16999,-26.377438,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.70444071580455,8.668933599907636,38.27357036657747,40.42514773380084,2016-10-22 20:52:55.239114
1621,1.5547096,273.87067,310.24622,-42.28726,-32.070328,-3.4634662,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.300581078891186,8.954397430043324,37.947391248312115,40.08349377099418,2016-10-22 20:52:59.739140
1622,1.5689617,267.43826,289.7175,-27.573004,-39.589268,14.241989,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-8.677287078564758,9.031775226107282,37.45236248478694,39.491111995008374,2016-10-22 20:53:04.239173
1623,1.7366151,244.12485,246.08632,-47.181072,-42.91785,-9.016437,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-7.991230720112164,8.212888919061353,37.49375574662662,39.205772916196416,2016-10-22 20:53:08.739199
